#C:\Users\anton\AppData\Local\Temp\Rar$EXa11912.14995\nefi-windows_64bit_build\NEFI.exe
# GMT Fri Nov 15 00:08:30 2024
# 
(1743, 2891)|3
(764, 4076)|{'length': 1648.236246000008, 'width_var': 0.0031274414002708641, 'width': 2.0015649452269169, 'pixels': 1278}
(2896, 1298)|{'length': 2659.280737999982, 'width_var': 0.0067085764542583982, 'width': 2.0033599328013438, 'pixels': 2381}
(2550, 3797)|{'length': 1287.5477920000048, 'width_var': 0.0081135567453235503, 'width': 2.0040650406504064, 'pixels': 984}
(3233, 1451)|1
(2896, 1298)|{'length': 422.57574599999947, 'width_var': 0.01098892759298469, 'width': 2.0055096418732781, 'pixels': 363}
(2565, 3852)|1
(2550, 3797)|{'length': 63.213210000000004, 'width_var': 0.071404958677685967, 'width': 2.0363636363636362, 'pixels': 55}
(764, 4076)|0
(2894, 1431)|1
(2896, 1298)|{'length': 154.22541600000005, 'width_var': 0.058810425484517689, 'width': 2.0298507462686568, 'pixels': 134}
(2560, 3794)|1
(2550, 3797)|{'length': 12.828428, 'width_var': 0.0, 'width': 2.0, 'pixels': 10}
(2550, 3797)|0
(2896, 1298)|0
